    Iter     M1(i)      T1(i)      M2(i)      T2(i)      U1(i)      U2(i)
 287.000   0.749655   0.751340   0.457961   0.750860   0.362052   0.637011
 288.000   0.749267   0.750699   0.456520   0.749733   0.450916   0.766800
 289.000   0.748882   0.749907   0.455082   0.748385   0.715083   0.233803
 290.000   0.748499   0.748666   0.453646   0.747943   0.789584   0.891898
 291.000   0.748120   0.747298   0.452212   0.746383   0.511539   0.807425
 292.000   0.747745   0.746403   0.450780   0.744966   0.570421   0.223802
 293.000   0.747372   0.745408   0.449350   0.744541   0.259890   0.425564
 294.000   0.747003   0.744941   0.447923   0.743773   0.698965   0.760467
 295.000   0.746636   0.743728   0.446496   0.742436   0.731970   0.354819
 296.000   0.746272   0.742458   0.445073   0.741789   0.527251   0.171961
 297.000   0.745912   0.741536   0.443650   0.741452   0.189365   0.209034
 298.000   0.745554   0.741189   0.442230   0.741052   0.642922   0.496142
 299.000   0.745199   0.740070   0.440810   0.740164   0.251768   0.496005
 300.000   0.744847   0.739617   0.439393   0.739276   0.218087   0.143979
 301.000   0.744498   0.739221   0.437977   0.738987   0.780570   0.548448
 302.000   0.744150   0.737868   0.436563   0.738010   0.843687   0.657334
 303.000   0.743806   0.736409   0.435150   0.736847   0.566233   0.752318
 304.000   0.743466   0.735420   0.433740   0.735524   0.803211   0.891129
 305.000   0.743129   0.734029   0.432332   0.733964   0.100418   0.792351
 306.000   0.742795   0.733833   0.430926   0.732572   0.590053   0.891960
 307.000   0.742464   0.732805   0.429522   0.731011   0.522144   0.483619
 308.000   0.742135   0.731892   0.428121   0.730144   0.741078   0.282274
 309.000   0.741809   0.730607   0.426721   0.729619   0.498475   0.820682
 310.000   0.741487   0.729734   0.425323   0.728179   0.559729   0.776143
 311.000   0.741168   0.728757   0.423927   0.726814   0.690912   0.568790
 312.000   0.740851   0.727557   0.422533   0.725802   0.297388   0.633133
 313.000   0.740538   0.727026   0.421141   0.724680   0.166786   0.600768
 314.000   0.740228   0.726718   0.419751   0.723614   0.628756   0.683801
 315.000   0.739919   0.725624   0.418363   0.722406   0.812602   0.885843
 316.000   0.739613   0.724217   0.416976   0.720855   0.715223   0.565157
 317.000   0.739311   0.722976   0.415592   0.719849   0.842650   0.564072
 318.000   0.739013   0.721518   0.414210   0.718844   0.113586   0.196688
 319.000   0.738718   0.721300   0.412829   0.718464   0.790169   0.487437
 320.000   0.738425   0.719931   0.411450   0.717590   0.775885   0.267524
 321.000   0.738135   0.718587   0.410072   0.717090   0.541833   0.603907
 322.000   0.737849   0.717641   0.408695   0.716018   0.125593   0.591771
 323.000   0.737566   0.717402   0.407321   0.714966   0.389929   0.139626
 324.000   0.737285   0.716714   0.405947   0.714683   0.491656   0.254008
 325.000   0.737007   0.715853   0.404575   0.714206   0.198467   0.264395
 326.000   0.736731   0.715490   0.403205   0.713711   0.217212   0.251258
 327.000   0.736457   0.715096   0.401835   0.713238   0.134122   0.608158
 328.000   0.736185   0.714843   0.400467   0.712158   0.325493   0.530877
 329.000   0.735915   0.714264   0.399100   0.711210   0.656130   0.499293
 330.000   0.735648   0.713123   0.397735   0.710315   0.528641   0.456147
 331.000   0.735384   0.712200   0.396372   0.709494   0.199146   0.492286
 332.000   0.735122   0.711836   0.395010   0.708611   0.782399   0.799142
 333.000   0.734863   0.710481   0.393649   0.707206   0.316235   0.266769
 334.000   0.734607   0.709918   0.392290   0.706706   0.551984   0.612249
 335.000   0.734354   0.708954   0.390933   0.705619   0.433623   0.264780
 336.000   0.734103   0.708192   0.389577   0.705123   0.858346   0.165657
